PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
SHORT,91278519252014043014334608009114,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,91278519252014043014334608009114,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
LONG,91285630022014043007081552240170,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,91285630022014043007081552240170,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,91285630022014043007081552240170,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,91285630022014043007081552240170,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,91285630022014043007081552240170,3,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,91285630022014043007081552240170,4,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,91285630022014043007081552240170,5,EPC-R4,Consider installing PV.,LOW
SHORT,91387970302014043008022351400240,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,91387970302014043008022351400240,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
LONG,91387970302014043008022351400240,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,91387970302014043008022351400240,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,91387970302014043008022351400240,3,EPC-R5,Consider installing an air source heat pump.,HIGH
SHORT,91387970302014043008022351400240,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,91387970302014043008022351400240,4,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,91387970302014043008022351400240,5,EPC-R4,Consider installing PV.,LOW
LONG,92162464032014052921011593000996,1,EPC-H7,Add optimum start/stop to the heating system.,LOW
SHORT,92162464032014052921011593000996,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,92162464032014052921011593000996,2,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
LONG,92162464032014052921011593000996,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,LOW
LONG,92162464032014052921011593000996,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
SHORT,92162464032014052921011593000996,3,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,92162464032014052921011593000996,4,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,92162464032014052921011593000996,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,92162464032014052921011593000996,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,92475600022014061209154683060760,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,LOW
SHORT,92475600022014061209154683060760,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,92475600022014061209154683060760,1,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,LOW
LONG,92475600022014061209154683060760,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,92475600022014061209154683060760,2,EPC-H6,Add local temperature control to the heating system.,LOW
SHORT,92475600022014061209154683060760,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
MEDIUM,92475600022014061209154683060760,3,EPC-H8,Add weather compensation controls to heating system.,LOW
SHORT,92475600022014061209154683060760,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,92475600022014061209154683060760,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,92475600022014061209154683060760,4,EPC-H5,Add local time control to heating system.,LOW
LONG,92475600022014061209154683060760,4,EPC-R4,Consider installing PV.,LOW
SHORT,92475600022014061209154683060760,4,EPC-H2,Add time control to heating system.,LOW
SHORT,92475600022014061209154683060760,5,EPC-H7,Add optimum start/stop to the heating system.,LOW
MEDIUM,94279780022014081914002977980230,1,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
LONG,94279780022014081914002977980230,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
SHORT,94279780022014081914002977980230,1,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
SHORT,94279780022014081914002977980230,2,EPC-W3,Improve insulation on HWS storage.,LOW
MEDIUM,94279780022014081914002977980230,2,EPC-H5,Add local time control to heating system.,MEDIUM
LONG,94279780022014081914002977980230,2,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,94279780022014081914002977980230,3,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,94279780022014081914002977980230,3,EPC-H3,Consider replacing heating boiler plant with a condensing type.,MEDIUM
SHORT,94279780022014081914002977980230,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,MEDIUM
MEDIUM,94279780022014081914002977980230,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
LONG,94279780022014081914002977980230,4,EPC-R4,Consider installing PV.,LOW
SHORT,94279780022014081914002977980230,4,EPC-H2,Add time control to heating system.,LOW
SHORT,94279780022014081914002977980230,5,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
MEDIUM,94279780022014081914002977980230,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,94279780022014081914002977980230,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
SHORT,94279780022014081914002977980230,7,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,94279780022014081914002977980230,8,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,94279780022014081914002977980230,9,EPC-H6,Add local temperature control to the heating system.,MEDIUM
SHORT,96046980962014101018093831000940,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,MEDIUM
LONG,96046980962014101018093831000940,1,EPC-H8,Add weather compensation controls to heating system.,MEDIUM
MEDIUM,96046980962014101018093831000940,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,96046980962014101018093831000940,2,EPC-E6,Some loft spaces are poorly insulated - install/improve insulation.,MEDIUM
MEDIUM,96046980962014101018093831000940,2,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,96046980962014101018093831000940,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,96046980962014101018093831000940,3,EPC-H5,Add local time control to heating system.,MEDIUM
SHORT,96046980962014101018093831000940,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
MEDIUM,96046980962014101018093831000940,3,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,96046980962014101018093831000940,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,96046980962014101018093831000940,4,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,96046980962014101018093831000940,4,EPC-H6,Add local temperature control to the heating system.,MEDIUM
LONG,96046980962014101018093831000940,5,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,96046980962014101018093831000940,5,EPC-H2,Add time control to heating system.,MEDIUM
SHORT,96046980962014101018093831000940,6,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,96673650962014103114260871700010,1,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
SHORT,96673650962014103114260871700010,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,96673650962014103114260871700010,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
SHORT,96673650962014103114260871700010,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,96673650962014103114260871700010,3,EPC-R5,Consider installing an air source heat pump.,HIGH
LONG,96673650962014103114260871700010,4,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
LONG,96673650962014103114260871700010,5,EPC-R1,Consider installing a ground source heat pump.,HIGH
LONG,98954835032015020211394412000491,1,EPC-E2,Roof is poorly insulated. Install or improve insulation of roof.,MEDIUM
MEDIUM,98954835032015020211394412000491,1,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,98954835032015020211394412000491,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,HIGH
SHORT,98954835032015020211394412000491,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,98954835032015020211394412000491,2,EPC-R3,Consider installing solar water heating.,LOW
MEDIUM,98954835032015020211394412000491,2,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,98954835032015020211394412000491,3,EPC-R4,Consider installing PV.,LOW
SHORT,98954835032015020211394412000491,3,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
SHORT,98954835032015020211394412000491,4,EPC-W4,Add time control to HWS secondary circulation.,HIGH
SHORT,98954835032015020211394412000491,5,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,98955545032015020214412789000890,1,EPC-L1,Replace 38mm diameter (T12) fluorescent tubes on failure with 26mm (T8) tubes.,LOW
LONG,98955545032015020214412789000890,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
SHORT,98955545032015020214412789000890,2,EPC-L2,Replace tungsten GLS lamps with CFLs: Payback period dependent on hours of use.,LOW
LONG,98955545032015020214412789000890,2,EPC-R3,Consider installing solar water heating.,LOW
LONG,98955545032015020214412789000890,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
SHORT,98955545032015020214412789000890,3,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,LOW
SHORT,98955545032015020214412789000890,4,EPC-V1,"In some spaces, the solar gain limit in criterion 3 of ADL2A 2010 is exceeded, which might cause overheating. Consider solar control measures such as the application of reflective coating or shading devices to windows.",MEDIUM
LONG,98955545032015020214412789000890,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
LONG,98955545032015020214412789000890,5,EPC-R4,Consider installing PV.,LOW
MEDIUM,99075510242015021217460796900990,1,EPC-H7,Add optimum start/stop to the heating system.,MEDIUM
LONG,99075510242015021217460796900990,1,EPC-W3,Improve insulation on HWS storage.,LOW
SHORT,99075510242015021217460796900990,1,EPC-L5,Consider replacing T8 lamps with retrofit T5 conversion kit.,HIGH
LONG,99075510242015021217460796900990,2,EPC-H3,Consider replacing heating boiler plant with a condensing type.,HIGH
MEDIUM,99075510242015021217460796900990,2,EPC-L7,Introduce HF (high frequency) ballasts for fluorescent tubes: Reduced number of fittings required.,LOW
LONG,99075510242015021217460796900990,3,EPC-E7,"Carry out a pressure test, identify and treat identified air leakage. Enter result in EPC calculation.",MEDIUM
MEDIUM,99075510242015021217460796900990,3,EPC-H4,The default heat generator efficiency is chosen. It is recommended that the heat generator system be investigated to gain an understanding of its efficiency and possible improvements.,MEDIUM
LONG,99075510242015021217460796900990,4,EPC-E8,Some glazing is poorly insulated. Replace/improve glazing and/or frames.,MEDIUM
MEDIUM,99075510242015021217460796900990,4,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,MEDIUM
LONG,99075510242015021217460796900990,5,EPC-R2,Consider installing building mounted wind turbine(s).,LOW
MEDIUM,99075510242015021217460796900990,5,EPC-E5,Some windows have high U-values - consider installing secondary glazing.,MEDIUM
MEDIUM,99075510242015021217460796900990,6,EPC-H8,Add weather compensation controls to heating system.,LOW
OTHER,104767685032015091000595789000493,1,EPC-E4,Some walls have uninsulated cavities - introduce cavity wall insulation.,HIGH
